name,n components,accuracy,jac,time,iter
banana1,2,0.9638704427083333,0.8763893529346253,130.79957270622253,19
banana1,3,0.6524251302083334,0.42428490550777775,46.60755777359009,3
banana1,4,0.66462890625,0.43302588711807694,73.3528778553009,5
banana1,5,0.6646712239583333,0.43306934943286574,61.06988883018494,4
banana2,2,0.99015625,0.9590138382510403,30.648584365844727,4
banana2,3,0.988896484375,0.9536913845067746,57.80402660369873,9
banana2,4,0.98884765625,0.953581638597965,76.84878897666931,12
banana2,5,0.9903678385416667,0.9599149258988323,47.12428879737854,7
book,2,0.977373046875,0.9422837404719597,79.29002356529236,7
book,3,0.9779036458333333,0.9435579761360329,133.15533256530762,12
book,4,0.9618977864583333,0.9065013699286678,95.0578944683075,6
book,5,0.96181640625,0.9063188831741367,97.03039932250977,6
bush,2,0.9607333333333333,0.7744159325928763,14.919378280639648,4
bush,3,0.8538222222222223,0.5336625942292695,22.18188238143921,5
bush,4,0.8409222222222222,0.5134244154431756,53.010255575180054,12
bush,5,0.8544074074074074,0.5353757416731674,100.28847694396973,21
cross,2,0.6443111111111111,0.4561824729891957,77.15438342094421,6
cross,3,0.6437185185185185,0.4533075699022505,149.47650265693665,11
cross,4,0.6138777777777777,0.42812397147558967,147.0767102241516,11
cross,5,0.7305037037037037,0.5767689399447433,192.20805549621582,12
flower,2,0.9972037037037037,0.9857299463219172,23.901063680648804,4
flower,3,0.9972222222222222,0.9858206979997731,27.240643978118896,5
flower,4,0.9970666666666667,0.9850430578637256,26.696604013442993,5
flower,5,0.9966518518518519,0.9829710281430132,22.44596529006958,4
fullmoon,2,0.993322559793148,0.9000870490376245,4.082310438156128,2
fullmoon,3,0.990284421460892,0.8607559755419678,1.486853837966919,0
fullmoon,4,0.9907950872656756,0.8670401493930906,1.5083649158477783,0
fullmoon,5,0.9931868131868132,0.8979967095712765,4.0539774894714355,2
grave,2,0.9753888888888889,0.801030032637662,11.411559104919434,4
grave,3,0.9627851851851852,0.7571069425643009,10.461782217025757,3
grave,4,0.9909185185185185,0.9269564181238643,18.24812650680542,6
grave,5,0.9829111111111111,0.8721352362477484,13.129281759262085,4
llama,2,0.9922342543991005,0.9563728673475411,14.543387174606323,4
llama,3,0.9921764579162792,0.9560533616669618,14.921658754348755,4
llama,4,0.9921291698848799,0.9558229378631042,15.194149255752563,4
llama,5,0.9918559501479065,0.9540495671765682,15.398906469345093,4
memorial,2,0.9841777777777778,0.9151505521569874,20.651310682296753,4
memorial,3,0.9828185185185185,0.908526245218283,22.95637536048889,5
memorial,4,0.9826962962962963,0.9079336302368659,18.662747859954834,4
memorial,5,0.9866037037037036,0.9287346810103637,19.767289638519287,4
sheep,2,0.996237037037037,0.9323658634003461,8.94239592552185,2
sheep,3,0.9961555555555556,0.9307122354982978,8.886216163635254,2
sheep,4,0.9962481481481481,0.9324981675218231,8.685389995574951,2
sheep,5,0.9963185185185185,0.9334181793824101,7.444755792617798,2
stone2,2,0.9964290364583334,0.9854366354246874,32.596577405929565,5
stone2,3,0.9965071614583333,0.9857486286541552,55.64561200141907,8
stone2,4,0.996240234375,0.9846792592985621,54.25130081176758,8
stone2,5,0.9965950520833333,0.9861033612328949,40.655949115753174,5
teddy,2,0.9897728077004742,0.9540996624975183,8.933362007141113,7
teddy,3,0.9894631608747965,0.9527587164333029,6.556969881057739,5
teddy,4,0.989843584117772,0.95433208688042,11.680029392242432,10
teddy,5,0.990692901125345,0.9579771510745386,10.778955698013306,9
